collection_slug,collection_name,collection_url,asset_id,asset_name,asset_description,asset_contract_date,asset_url,asset_img_url,event_id,event_time,event_auction_type,event_contract_address,event_quantity,event_payment_symbol,event_total_price
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74051555,Doodle #2606,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/ethereum/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/2606,https://lh3.googleusercontent.com/A_c2CMTF3krDBYvTda5GRjz2kQUAxg0Qb3T1hSZBVAg7nTCxhy00G5QtrUP8hajcbEPxwkgkVipg8DeHPQq7GvuBTc_ZgZRFurEDWQ,6984092768,2022-06-22T03:26:13.188249,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,15.0
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74414570,Doodle #8075,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/ethereum/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/8075,https://lh3.googleusercontent.com/3zVUZL8CrF26RYpt4x6TJ3SxmqSW3Jn0p4Ykd6lKpbP2vwJXSK5Lbo9rpQDc8C_tjnjW6gVR5X1u89JVP2EoTkaoemdVhsoHhvqL,6983964303,2022-06-22T03:13:29.007901,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,16.0
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74413976,Doodle #7716,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/ethereum/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/7716,https://lh3.googleusercontent.com/HdJvIooGKYPiuucTQdZGjKgQU0BgzaYTX_rh9dGyvUZFARkm7DZZ32y_seW4goa8Xys1X_Lx0x4BAjTylh8F0wwVYvsEF1o8dkx9px0,6983911522,2022-06-22T03:08:17.234218,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,14.8
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74416851,Doodle #9666,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/ethereum/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/9666,https://lh3.googleusercontent.com/pt4uEzPDdQiPO64KwEGyd4pMcgwd-kNUUffQS-UFuW6sQBoNmsSDBQ2M9Wk0EdCeZEWycmxBoI4Bvb6U-55QOVacQ3V6XsODlDJgWw,6983877010,2022-06-22T03:04:50.037900,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,14.4
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74412753,Doodle #6771,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/ethereum/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/6771,https://lh3.googleusercontent.com/7O6fAeYXxd08s6ePD0gmNhrQZZ_bqtuadZhI1jH9tSIcJalhAfk4O6iiSJ0c5O8HeKIoVtJ_Fc8jRtAjacaWrAtKYDuLZy1pD-_gcA,6983835250,2022-06-22T03:00:54.344147,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,14.4
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74411892,Doodle #6245,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/ethereum/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/6245,https://lh3.googleusercontent.com/7TNZFsuLxw1NYQkBLl22d12T1D_DG4rf7_KwNDaOX5p8AskH486nfNg3PIqRNOV28lN5oB6fMtF3SBURmzivk7Mg9Yn09W2DIzgggnY,6983832764,2022-06-22T03:00:40.734716,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,18.0
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74045432,Doodle #1712,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/ethereum/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/1712,https://lh3.googleusercontent.com/4rtN-ERR6hGauUCc8AQBnScfivXh6VukNydRj-I6t8ebuzf1K3MQDTK-xaiapi_FvldQL76e05QDN7XplQy7iPL-ea1hxAS5E56w,6983554975,2022-06-22T02:36:48.569106,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,14.9
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74065508,Doodle #3341,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/ethereum/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/3341,https://lh3.googleusercontent.com/nyBpi6_ZRDBzeQf_PaT0CFUD9h92HvJRQGzs0QBFZu2id8ZlukoF4hlNcvbibNIM6HLVy1Ov_2YJlNsRXmUEBZ0XvogvlfanqEb9wA,6968784080,2022-06-20T15:57:38.773448,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,12.9
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74416229,Doodle #9222,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/ethereum/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/9222,https://lh3.googleusercontent.com/3OG1JrskmeABrCOCklE5kL51rBZ9sG1RRJJjn8UNyJYkWgrftEMvJ_Mxcc7O_gOw-DmXBUNNRVryQr2yr0f2PCOXCDSyr_Y10C7G1Mw,6968784009,2022-06-20T15:57:38.115578,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,12.649
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74058179,Doodle #3044,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/ethereum/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/3044,https://lh3.googleusercontent.com/BzTdeB4cb-93b041IhtZ9iAds9rMO-BwQSTp-Ag5AzA3rffhHdkzuCMl0LTDb5WiD91w8VHSBLPb-y7CgOva6G767lk_Nt3iG7M4mA,6966620783,2022-06-20T10:36:04.191852,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,13.75
